SUBFAMILY;TRIBE;GENUS HANDBOOK;SPECIES HANDBOOK;SP_reducido;HandbookSp;Sp;diet_Iris;diet_CVA
Xerinae;Marmotini;Marmota;sibirica;Mar_sib;Marmota sibrica;M.sibirica;grazer;Grind
Xerinae;Marmotini;Marmota;vancouverensis;Mar_van;Marmota vancouverensis;M.vancouverensis;grazer;Grind
Callosciurinae;Callosciurini;Menetes;berdmorei;Men_ber;Menetes berdmorei;M.berdmorei;NO_INF;NO_INF
Sciurinae;Sciurini;Microsciurus;alfari;Mic_alf;Microsciurus alfari;M.alfari;Bark_gleaner;chew_crush
Sciurinae;Sciurini;Microsciurus;flaviventer;Mic_fla;Microsciurus flaviventer;M.flaviventer;Bark_gleaner;chew_crush
Sciurinae;Sciurini;Microsciurus;mimulus;Mic_mim;Microsciurus mimulus;M.mimulus;NO_INF;NO_INF
Sciurinae;Sciurini;Microsciurus;santanderensis;Mic_san;Microsciurus santanderensis;M.santanderensis;NO_INF;NO_INF
Xerinae;Protoxerini;Myosciurus;pumilio;Myo_pum;Myosciurus pumilio;M.pumilio;Bark_gleaner;chew_crush
Callosciurinae;Callosciurini;Nannosciurus;melanotis;Nan_mel;Nannosciurus melanotis;N.melanotis;Bark_gleaner;chew_crush
Xerinae;Marmotini;Notocitellus;adocetus;Not_ado;Notocitellus adocetus;N.adocetus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Notocitellus;annulatus;Not_ann;Notocitellus annulatus;N.annulatus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Otospermophilus;atricapillus;Oto_atr;Otospermophilus atricapillus;O.atricapillus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Otospermophilus;beecheyi;Oto_bee;Otospermophilus beecheyi;O.beecheyi;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Otospermophilus;variegatus;Oto_var;Otospermophilus variegatus;O.variegatus;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Paraxerus;alexandri;Par_ale;Paraxerus alexandri;P.alexandri;Browser;chew_crush
Xerinae;Protoxerini;Paraxerus;boehmi;Par_boe;Paraxerus boehmi;P.boehmi;Browser;chew_crush
Xerinae;Protoxerini;Paraxerus;cepapi;Par_cep;Paraxerus cepapi;P.cepapi;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Paraxerus;cooperi;Par_coo;Paraxerus cooperi;P.cooperi;NO_INF;NO_INF
Xerinae;Protoxerini;Paraxerus;flavovittis;Par_fla;Paraxerus flavovittis;P.flavovittis;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Paraxerus;lucifer;Par_luc;Paraxerus lucifer;P.lucifer;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Paraxerus;ochraceus;Par_och;Paraxerus ochraceus;P.ochraceus;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Paraxerus;palliatus;Par_pal;Paraxerus palliatus;P.palliatus;NO_INF;NO_INF
Xerinae;Protoxerini;Paraxerus;poensis;Par_poe;Paraxerus poensis;P.poensis;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Paraxerus;vexillarius;Par_vex;Paraxerus vexillarius;P.vexillarius;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Paraxerus;vincenti;Par_vin;Paraxerus vincenti;P.vincenti;NO_INF;NO_INF
Sciurinae;Pteromyini;Petaurillus;emiliae;Pet_emi;Petaurillus emiliae;P.emiliae;NO_INF;NO_INF
Sciurinae;Pteromyini;Petaurillus;hosei;Pet_hos;Petaurillus hosei;P.hosei;NO_INF;NO_INF
Sciurinae;Pteromyini;Petaurillus;kinlochii;Pet_kin;Petaurillus kinlochii;P.kinlochii;NO_INF;NO_INF
Sciurinae;Pteromyini;Petaurista;albiventer;Pet_alv;Petaurista albiventer;P.albiventer;Seeds_nuts;chew_crush
Sciurinae;Pteromyini;Petaurista;alborufus;Pet_alb;Petaurista alborufus;P.alborufus;Seeds_nuts;chew_crush
Sciurinae;Pteromyini;Petaurista;caniceps;Pet_can;Petaurista caniceps;P.caniceps;Browser;chew_crush
Sciurinae;Pteromyini;Petaurista;elegans;Pet_ele;Petaurista elegans;P.elegans;Seeds_nuts;chew_crush
Sciurinae;Pteromyini;Petaurista;hainana;Pet_hai;Petaurista hainana;P.hainana;NO_INF;NO_INF
Sciurinae;Pteromyini;Petaurista;lena;Pet_len;Petaurista lena;P.lena;Browser;chew_crush
Sciurinae;Pteromyini;Petaurista;leucogenys;Pet_leu;Petaurista leucogenys;P.leucogenys;Seeds_nuts;chew_crush
Sciurinae;Pteromyini;Petaurista;magnificus;Pet_mag;Petaurista magnificus;P.magnificus;grazer;Grind
Sciurinae;Pteromyini;Petaurista;mechukaensis;Pet_mec;Petaurista mechukaensis;P.mechukaensis;NO_INF;NO_INF
Sciurinae;Pteromyini;Petaurista;mishmiensis;Pet_mis;Petaurista mishmiensis;P.mishmiensis;NO_INF;NO_INF
Sciurinae;Pteromyini;Petaurista;nobilis;Pet_nob;Petaurista nobilis;P.nobilis;NO_INF;NO_INF
Sciurinae;Pteromyini;Petaurista;petaurista;Pet_pet;Petaurista petaurista;P.petaurista;Folivore;chew_crush
Sciurinae;Pteromyini;Petaurista;philippensis;Pet_phi;Petaurista philippensis;P.philippensis;Folivore;chew_crush
Sciurinae;Pteromyini;Petaurista;siangensis;Pet_sia;Petaurista siangensis;P.siangensis;NO_INF;NO_INF
Sciurinae;Pteromyini;Petaurista;xanthotis;Pet_xan;Petaurista xanthotis;P.xanthotis;Browser;chew_crush
Sciurinae;Pteromyini;Petaurista;yunanensis;Pet_yun;Petaurista yunanensis;P.yunanensis;NO_INF;NO_INF
Sciurinae;Pteromyini;Petinomys;crinitus;Pet_cri;Petinomys crinitus;P.crinitus;NO_INF;NO_INF
Sciurinae;Pteromyini;Petinomys;fuscocapillus;Pet_fus;Petinomys fuscocapillus;P.fuscocapillus;Browser;chew_crush
Sciurinae;Pteromyini;Petinomys;genibarbis;Pet_gen;Petinomys genibarbis;P.genibarbis;NO_INF;NO_INF
Sciurinae;Pteromyini;Petinomys;hageni;Pet_hag;Petinomys hageni;P.hageni;NO_INF;NO_INF
Sciurinae;Pteromyini;Petinomys;lugens;Pet_lug;Petinomys lugens;P.lugens;NO_INF;NO_INF
Sciurinae;Pteromyini;Petinomys;mindanensis;Pet_min;Petinomys mindanensis;P.mindanensis;NO_INF;NO_INF
Sciurinae;Pteromyini;Petinomys;setosus;Pet_set;Petinomys setosus;P.setosus;Seeds_nuts;chew_crush
Sciurinae;Pteromyini;Petinomys;vordermanni;Pet_vor;Petinomys vordermanni;P.vordermanni;Seeds_nuts;chew_crush
Xerinae;Marmotini;Poliocitellus;franklinii;Pol_fra;Poliocitellus franklinii;P.franklinii;mixed_feeder;mixed_feeder
Callosciurinae;Callosciurini;Prosciurillus;abstrusus;Pro_abs;Prosciurillus abstrussus;P.abstrusus;NO_INF;NO_INF
Callosciurinae;Callosciurini;Prosciurillus;alstoni;Pro_als;Prosciurillus alstoni;P.alstoni;Browser;chew_crush
Callosciurinae;Callosciurini;Prosciurillus;leucomus;Pro_leu;Prosciurillus leucomus;P.leucomus;Browser;chew_crush
Callosciurinae;Callosciurini;Prosciurillus;murinus;Pro_mur;Prosciurillus murinus;P.murinus;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Prosciurillus;rosenbergii;Pro_ros;Prosciurillus rosenbergii;P.rosenbergii;NO_INF;NO_INF
Callosciurinae;Callosciurini;Prosciurillus;topapuensis;Pro_top;Prosciurillus topapuensis;P.topapuensis;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Prosciurillus;weberi;Pro_web;Prosciurillus weberi;P.weberi;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Protoxerus;aubinnii;Pro_aub;Protoxerus aubinnii;P.aubinnii;Browser;chew_crush
Xerinae;Protoxerini;Protoxerus;stangeri;Pro_sta;Protoxerus stangeri;P.stangeri;Seeds_nuts;chew_crush
Sciurinae;Pteromyini;Pteromys;momonga;Pte_mom;Pteromys momonga;P.momonga;Seeds_nuts;chew_crush
Sciurinae;Pteromyini;Pteromys;volans;Pte_vol;Pteromys volans;P.volans;Browser;chew_crush
Sciurinae;Pteromyini;Pteromyscus;pulverulentus;Pte_pul;Pteromyscus pulverulentus;P.pulverulentus;Seeds_nuts;chew_crush
Ratufinae;Ratufini;Ratufa;affinis;Rat_aff;Ratufa affinis;R.affinis;Seeds_nuts;chew_crush
Ratufinae;Ratufini;Ratufa;bicolor;Rat_bic;Ratufa bicolor;R.bicolor;Seeds_nuts;chew_crush
Ratufinae;Ratufini;Ratufa;indica;Rat_ind;Ratufa indica;R.indica;Seeds_nuts;chew_crush
Ratufinae;Ratufini;Ratufa;macroura;Rat_mac;Ratufa macroura;R.macroura;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Rheithrosciurus;macrotis;Rhe_mac;Rheithrosciurus macrotis;R.macrotis;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Rhinosciurus;laticaudatus;Rhi_lat;Rhinosciurus laticaudatus;R.laticaudatus;Insectivore;Insectivore
Callosciurinae;Callosciurini;Rubrisciurus;rubriventer;Rub_rub;Rubrisciurus rubriventer;R.rubriventer;Seeds_nuts;chew_crush
Sciurillinae;Sciurillini;Sciurillus;pusillus;Sci_pus;Sciurillus pusillus;S.pusillus;Bark_gleaner;chew_crush
Xerinae;Marmotini;Sciurotamias;davidianus;Sci_dav;Sciurotamias davidianus;S.davidianus;Seeds_nuts;chew_crush
Xerinae;Marmotini;Sciurotamias;forresti;Sci_for;Sciurotamias forresti;S.forresti;NO_INF;NO_INF
Sciurinae;Sciurini;Sciurus;aberti;Sci_abe;Sciurus aberti;S.aberti;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;aestuans;Sci_aes;Sciurus aestuans;S.aestuans;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;alleni;Sci_all;Sciurus alleni;S.alleni;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;anomalus;Sci_ano;Sciurus anomalus;S.anomalus;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;arizonensis;Sci_ari;Sciurus arizonensis;S.arizonensis;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;aureogaster;Sci_aur;Sciurus aureogaster;S.aureogaster;Frugivorous;chew_crush
Sciurinae;Sciurini;Sciurus;carolinensis;Sci_car;Sciurus carolinensis;S.carolinensis;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;colliaei;Sci_col;Sciurus colliaei;S.colliaei;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;deppei;Sci_dep;Sciurus deppei;S.deppei;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;flammifer;Sci_fla;Sciurus flammifer;S.flammifer;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;gilvigularis;Sci_gil;Sciurus gilvigularis;S.gilvigularis;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;granatensis;Sci_gra;Sciurus granatensis;S.granatensis;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;griseus;Sci_gri;Sciurus griseus;S.griseus;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;ignitus;Sci_igt;Sciurus ignitus;S.ignitus;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;igniventris;Sci_igv;Sciurus igniventris;S.igniventris;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;lis;Sci_lis;Sciurus lis;S.lis;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;nayaritensis;Sci_nay;Sciurus nayaritensis;S.nayaritensis;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;niger;Sci_nig;Sciurus niger;S.niger;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;oculatus;Sci_ocu;Sciurus oculatus;S.oculatus;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;pucheranii;Sci_puc;Sciurus pucheranii;S.pucheranii;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;pyrrhinus;Sci_pyr;Sciurus pyrrhinus;S.pyrrhinus;Browser;chew_crush
Sciurinae;Sciurini;Sciurus;richmondi;Sci_ric;Sciurus richmondi;S.richmondi;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;sanborni;Sci_san;Sciurus sanborni;S.sanborni;NO_INF;NO_INF
Sciurinae;Sciurini;Sciurus;spadiceus;Sci_spa;Sciurus spadiceus;S.spadiceus;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;stramineus;Sci_str;Sciurus stramineus;S.stramineus;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;variegatoides;Sci_var;Sciurus variegatoides;S.variegatoides;Seeds_nuts;chew_crush
